City,Beach,Date,Enterococcus
BERTIOGA,BORACÉIA - COL. MARISTA,2012-01-03,8
BERTIOGA,BORACÉIA - COL. MARISTA,2012-01-08,22
BERTIOGA,BORACÉIA - COL. MARISTA,2012-01-15,17
BERTIOGA,BORACÉIA - COL. MARISTA,2012-01-22,8
BERTIOGA,BORACÉIA - COL. MARISTA,2012-01-29,2
BERTIOGA,BORACÉIA - COL. MARISTA,2012-02-05,1
BERTIOGA,BORACÉIA - COL. MARISTA,2012-02-12,68
BERTIOGA,BORACÉIA - COL. MARISTA,2012-02-19,32
BERTIOGA,BORACÉIA - COL. MARISTA,2012-02-26,1
BERTIOGA,BORACÉIA - COL. MARISTA,2012-03-04,1
BERTIOGA,BORACÉIA - COL. MARISTA,2012-03-11,14
BERTIOGA,BORACÉIA - COL. MARISTA,2012-03-18,1
BERTIOGA,BORACÉIA - COL. MARISTA,2012-03-25,14
BERTIOGA,BORACÉIA - COL. MARISTA,2012-04-01,1
BERTIOGA,BORACÉIA - COL. MARISTA,2012-04-08,20
BERTIOGA,BORACÉIA - COL. MARISTA,2012-04-15,1
BERTIOGA,BORACÉIA - COL. MARISTA,2012-04-22,52
BERTIOGA,BORACÉIA - COL. MARISTA,2012-04-29,2
BERTIOGA,BORACÉIA - COL. MARISTA,2012-05-06,6
BERTIOGA,BORACÉIA - COL. MARISTA,2012-05-13,76
BERTIOGA,BORACÉIA - COL. MARISTA,2012-05-20,1
BERTIOGA,BORACÉIA - COL. MARISTA,2012-05-27,2
BERTIOGA,BORACÉIA - COL. MARISTA,2012-06-03,1
BERTIOGA,BORACÉIA - COL. MARISTA,2012-06-10,3
BERTIOGA,BORACÉIA - COL. MARISTA,2012-06-17,48
BERTIOGA,BORACÉIA - COL. MARISTA,2012-06-24,1
BERTIOGA,BORACÉIA - COL. MARISTA,2012-07-01,7
BERTIOGA,BORACÉIA - COL. MARISTA,2012-07-08,96
BERTIOGA,BORACÉIA - COL. MARISTA,2012-07-15,66
BERTIOGA,BORACÉIA - COL. MARISTA,2012-07-22,2
BERTIOGA,BORACÉIA - COL. MARISTA,2012-07-29,7
BERTIOGA,BORACÉIA - COL. MARISTA,2012-08-05,8
BERTIOGA,BORACÉIA - COL. MARISTA,2012-08-12,1
BERTIOGA,BORACÉIA - COL. MARISTA,2012-08-19,1
BERTIOGA,BORACÉIA - COL. MARISTA,2012-08-26,57
BERTIOGA,BORACÉIA - COL. MARISTA,2012-09-02,1
BERTIOGA,BORACÉIA - COL. MARISTA,2012-09-09,2
BERTIOGA,BORACÉIA - COL. MARISTA,2012-09-16,19
BERTIOGA,BORACÉIA - COL. MARISTA,2012-09-23,4
BERTIOGA,BORACÉIA - COL. MARISTA,2012-09-30,18
BERTIOGA,BORACÉIA - COL. MARISTA,2012-10-07,1
BERTIOGA,BORACÉIA - COL. MARISTA,2012-10-14,28
BERTIOGA,BORACÉIA - COL. MARISTA,2012-10-21,1
BERTIOGA,BORACÉIA - COL. MARISTA,2012-10-28,1
BERTIOGA,BORACÉIA - COL. MARISTA,2012-11-04,1
BERTIOGA,BORACÉIA - COL. MARISTA,2012-11-11,10
BERTIOGA,BORACÉIA - COL. MARISTA,2012-11-18,2
BERTIOGA,BORACÉIA - COL. MARISTA,2012-11-25,11
BERTIOGA,BORACÉIA - COL. MARISTA,2012-12-02,2
BERTIOGA,BORACÉIA - COL. MARISTA,2012-12-09,31
BERTIOGA,BORACÉIA - COL. MARISTA,2012-12-16,108
BERTIOGA,BORACÉIA - COL. MARISTA,2012-12-23,5
BERTIOGA,BORACÉIA - COL. MARISTA,2012-12-30,10
BERTIOGA,BORACÉIA - SUL,2012-01-03,16
BERTIOGA,BORACÉIA - SUL,2012-01-08,1
BERTIOGA,BORACÉIA - SUL,2012-01-15,1
BERTIOGA,BORACÉIA - SUL,2012-01-22,15
BERTIOGA,BORACÉIA - SUL,2012-01-29,7
BERTIOGA,BORACÉIA - SUL,2012-02-05,2
BERTIOGA,BORACÉIA - SUL,2012-02-12,18
BERTIOGA,BORACÉIA - SUL,2012-02-19,45
BERTIOGA,BORACÉIA - SUL,2012-02-26,4
BERTIOGA,BORACÉIA - SUL,2012-03-04,1
BERTIOGA,BORACÉIA - SUL,2012-03-11,19
BERTIOGA,BORACÉIA - SUL,2012-03-18,4
BERTIOGA,BORACÉIA - SUL,2012-03-25,68
BERTIOGA,BORACÉIA - SUL,2012-04-01,1
BERTIOGA,BORACÉIA - SUL,2012-04-08,9
BERTIOGA,BORACÉIA - SUL,2012-04-15,6
BERTIOGA,BORACÉIA - SUL,2012-04-22,37
BERTIOGA,BORACÉIA - SUL,2012-04-29,6
BERTIOGA,BORACÉIA - SUL,2012-05-06,2
BERTIOGA,BORACÉIA - SUL,2012-05-13,68
BERTIOGA,BORACÉIA - SUL,2012-05-20,45
BERTIOGA,BORACÉIA - SUL,2012-05-27,1
BERTIOGA,BORACÉIA - SUL,2012-06-03,2
BERTIOGA,BORACÉIA - SUL,2012-06-10,10
BERTIOGA,BORACÉIA - SUL,2012-06-17,33
BERTIOGA,BORACÉIA - SUL,2012-06-24,1
BERTIOGA,BORACÉIA - SUL,2012-07-01,2
BERTIOGA,BORACÉIA - SUL,2012-07-08,120
BERTIOGA,BORACÉIA - SUL,2012-07-15,13
BERTIOGA,BORACÉIA - SUL,2012-07-22,1
BERTIOGA,BORACÉIA - SUL,2012-07-29,38
BERTIOGA,BORACÉIA - SUL,2012-08-05,10
BERTIOGA,BORACÉIA - SUL,2012-08-12,1
BERTIOGA,BORACÉIA - SUL,2012-08-19,1
BERTIOGA,BORACÉIA - SUL,2012-08-26,280
BERTIOGA,BORACÉIA - SUL,2012-09-02,2
BERTIOGA,BORACÉIA - SUL,2012-09-09,1
BERTIOGA,BORACÉIA - SUL,2012-09-16,1
BERTIOGA,BORACÉIA - SUL,2012-09-23,3
BERTIOGA,BORACÉIA - SUL,2012-09-30,23
BERTIOGA,BORACÉIA - SUL,2012-10-07,1
BERTIOGA,BORACÉIA - SUL,2012-10-14,23
BERTIOGA,BORACÉIA - SUL,2012-10-21,1
BERTIOGA,BORACÉIA - SUL,2012-10-28,1
BERTIOGA,BORACÉIA - SUL,2012-11-04,1
BERTIOGA,BORACÉIA - SUL,2012-11-11,5
BERTIOGA,BORACÉIA - SUL,2012-11-18,3
BERTIOGA,BORACÉIA - SUL,2012-11-25,54
BERTIOGA,BORACÉIA - SUL,2012-12-02,1
BERTIOGA,BORACÉIA - SUL,2012-12-09,23
BERTIOGA,BORACÉIA - SUL,2012-12-16,3
BERTIOGA,BORACÉIA - SUL,2012-12-23,10
BERTIOGA,BORACÉIA - SUL,2012-12-30,27
BERTIOGA,GUARATUBA,2012-01-03,32
BERTIOGA,GUARATUBA,2012-01-08,1
BERTIOGA,GUARATUBA,2012-01-15,1
BERTIOGA,GUARATUBA,2012-01-22,3
BERTIOGA,GUARATUBA,2012-01-29,13
BERTIOGA,GUARATUBA,2012-02-05,1
BERTIOGA,GUARATUBA,2012-02-12,100
BERTIOGA,GUARATUBA,2012-02-19,1
BERTIOGA,GUARATUBA,2012-02-26,1
BERTIOGA,GUARATUBA,2012-03-04,1
BERTIOGA,GUARATUBA,2012-03-11,15
BERTIOGA,GUARATUBA,2012-03-18,7
BERTIOGA,GUARATUBA,2012-03-25,1
BERTIOGA,GUARATUBA,2012-04-01,1
BERTIOGA,GUARATUBA,2012-04-08,1
BERTIOGA,GUARATUBA,2012-04-15,5
BERTIOGA,GUARATUBA,2012-04-22,5
BERTIOGA,GUARATUBA,2012-04-29,4
BERTIOGA,GUARATUBA,2012-05-06,3
BERTIOGA,GUARATUBA,2012-05-13,12
BERTIOGA,GUARATUBA,2012-05-20,1
BERTIOGA,GUARATUBA,2012-05-27,2
BERTIOGA,GUARATUBA,2012-06-03,1
BERTIOGA,GUARATUBA,2012-06-10,8
BERTIOGA,GUARATUBA,2012-06-17,5
BERTIOGA,GUARATUBA,2012-06-24,1
BERTIOGA,GUARATUBA,2012-07-01,1
BERTIOGA,GUARATUBA,2012-07-08,28
BERTIOGA,GUARATUBA,2012-07-15,5
BERTIOGA,GUARATUBA,2012-07-22,1
BERTIOGA,GUARATUBA,2012-07-29,3
BERTIOGA,GUARATUBA,2012-08-05,1
BERTIOGA,GUARATUBA,2012-08-12,3
BERTIOGA,GUARATUBA,2012-08-19,1
BERTIOGA,GUARATUBA,2012-08-26,22
BERTIOGA,GUARATUBA,2012-09-02,1
BERTIOGA,GUARATUBA,2012-09-09,1
BERTIOGA,GUARATUBA,2012-09-16,1
BERTIOGA,GUARATUBA,2012-09-23,1
BERTIOGA,GUARATUBA,2012-09-30,15
BERTIOGA,GUARATUBA,2012-10-07,1
BERTIOGA,GUARATUBA,2012-10-14,96
BERTIOGA,GUARATUBA,2012-10-21,1
BERTIOGA,GUARATUBA,2012-10-28,1
BERTIOGA,GUARATUBA,2012-11-04,2
BERTIOGA,GUARATUBA,2012-11-11,1
BERTIOGA,GUARATUBA,2012-11-18,1
BERTIOGA,GUARATUBA,2012-11-25,2
BERTIOGA,GUARATUBA,2012-12-02,1
BERTIOGA,GUARATUBA,2012-12-09,16
BERTIOGA,GUARATUBA,2012-12-16,1
BERTIOGA,GUARATUBA,2012-12-23,8
BERTIOGA,GUARATUBA,2012-12-30,6
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-01-03,36
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-01-08,25
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-01-15,5
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-01-22,75
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2012-01-29,16
